ID,Smith Waterman (Simmetrics) - TOP 1,Smith Waterman (Simmetrics) - TOP 2,Smith Waterman (Simmetrics) - TOP 3,Smith Waterman (Simmetrics) - TOP 4,Smith Waterman (Simmetrics) - TOP 5,Smith Waterman (Simmetrics) - Full Synthesis,Levenshtein (Simmetrics) - TOP 1,Levenshtein (Simmetrics) - TOP 2,Levenshtein (Simmetrics) - TOP 3,Levenshtein (Simmetrics) - TOP 4,Levenshtein (Simmetrics) - TOP 5,Levenshtein (Simmetrics) - Full Synthesis,Wu & Palmer (WordNet) - TOP 1,Wu & Palmer (WordNet) - TOP 2,Wu & Palmer (WordNet) - TOP 3,Wu & Palmer (WordNet) - TOP 4,Wu & Palmer (WordNet) - TOP 5,Wu & Palmer (WordNet) - Full Synthesis,Path Length (WordNet) - TOP 1,Path Length (WordNet) - TOP 2,Path Length (WordNet) - TOP 3,Path Length (WordNet) - TOP 4,Path Length (WordNet) - TOP 5,Path Length (WordNet) - Full Synthesis,Wikipedia Miner metric (db_wikipedia) - TOP 1,Wikipedia Miner metric (db_wikipedia) - TOP 2,Wikipedia Miner metric (db_wikipedia) - TOP 3,Wikipedia Miner metric (db_wikipedia) - TOP 4,Wikipedia Miner metric (db_wikipedia) - TOP 5,Wikipedia Miner metric (db_wikipedia) - Full Synthesis,Wikipedia Miner metric (db_wiktionary) - TOP 1,Wikipedia Miner metric (db_wiktionary) - TOP 2,Wikipedia Miner metric (db_wiktionary) - TOP 3,Wikipedia Miner metric (db_wiktionary) - TOP 4,Wikipedia Miner metric (db_wiktionary) - TOP 5,Wikipedia Miner metric (db_wiktionary) - Full Synthesis,Transitive reduction metric - TOP 1,Transitive reduction metric - TOP 2,Transitive reduction metric - TOP 3,Transitive reduction metric - TOP 4,Transitive reduction metric - TOP 5,Transitive reduction metric - Full Synthesis
model_20100322_955726153,0.2631578947368421,0.42105263157894735,0.42105263157894735,0.5263157894736842,0.5789473684210527,0.3,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.25,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.42105263157894735,0.5263157894736842,0.3,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.3,0.15789473684210525,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.47368421052631576,0.15,0.2631578947368421,0.3684210526315789,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.3,0.3157894736842105,0.42105263157894735,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.35
model_20110127_1318390760,0.25,0.25,0.4166666666666667,0.5,0.5,0.23076923076923078,0.25,0.4166666666666667,0.5,0.5,0.5,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.3076923076923077,0.25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.23076923076923078,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.15384615384615385,0.4166666666666667,0.4166666666666667,0.5,0.5,0.5833333333333334,0.38461538461538464,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23076923076923078
model_20100308_1032655961,0.5,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.4666666666666667,0.5,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4666666666666667,0.5,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.4666666666666667,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.4,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.4,0.42857142857142855,0.5,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.4,0.5,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4666666666666667
model_20110525_564104612,0.4230769230769231,0.6153846153846154,0.6153846153846154,0.6538461538461539,0.6923076923076923,0.4074074074074074,0.4230769230769231,0.6153846153846154,0.6153846153846154,0.6538461538461539,0.6923076923076923,0.4074074074074074,0.46153846153846156,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.7307692307692307,0.4444444444444444,0.46153846153846156,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.7307692307692307,0.4444444444444444,0.46153846153846156,0.6538461538461539,0.6923076923076923,0.6923076923076923,0.7307692307692307,0.4444444444444444,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.4444444444444444,0.4230769230769231,0.5769230769230769,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.48148148148148145
model_20100529_1010171189,0.23809523809523808,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.6190476190476191,0.22727272727272727,0.23809523809523808,0.3333333333333333,0.47619047619047616,0.47619047619047616,0.5714285714285714,0.22727272727272727,0.2857142857142857,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.5714285714285714,0.2727272727272727,0.2857142857142857,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.5714285714285714,0.2727272727272727,0.23809523809523808,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.5714285714285714,0.22727272727272727,0.23809523809523808,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.5714285714285714,0.22727272727272727,0.23809523809523808,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.6666666666666666,0.22727272727272727
model_20100324_1996898492,0.5,0.8,0.9,0.9,1.0,0.5454545454545454,0.7,0.8,0.8,0.8,1.0,0.7272727272727273,0.6,0.6,0.7,0.8,1.0,0.6363636363636364,0.6,0.6,0.6,0.9,1.0,0.6363636363636364,0.7,0.8,0.8,1.0,1.0,0.7272727272727273,0.8,0.8,0.8,0.9,1.0,0.8181818181818182,0.7,0.7,0.8,0.8,0.8,0.7272727272727273
model_20110823_1386366267,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.6,0.5,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.4,0.35714285714285715,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.5,0.5,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.4666666666666667,0.5,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.4,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.5333333333333333,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.3333333333333333
model_20110525_1619420630,0.36363636363636365,0.4772727272727273,0.5,0.5,0.5,0.35555555555555557,0.38636363636363635,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.35555555555555557,0.36363636363636365,0.4772727272727273,0.4772727272727273,0.5227272727272727,0.5227272727272727,0.35555555555555557,0.36363636363636365,0.45454545454545453,0.5,0.5227272727272727,0.5227272727272727,0.35555555555555557,0.4090909090909091,0.4772727272727273,0.4772727272727273,0.4772727272727273,0.4772727272727273,0.4,0.4318181818181818,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5681818181818182,0.4222222222222222,0.25,0.3409090909090909,0.3409090909090909,0.3409090909090909,0.3409090909090909,0.2222222222222222
model_20120202_1596034358,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.1,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.1,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.3,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.1,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.3
model_20110722_419227445,0.125,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.04,0.20833333333333334,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.041666666666666664,0.20833333333333334,0.3333333333333333,0.375,0.375,0.08,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.12,0.125,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.12,0.041666666666666664,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0
